country,countryname,oecdmember,eumember,edate,date,party,partyname,partyabbrev,parfam,candidatename,coderid,manual,coderyear,testresult,testeditsim,pervote,voteest,presvote,absseat,totseats,progtype,datasetorigin,corpusversion,total,peruncod,per101,per102,per103,per104,per105,per106,per107,per108,per109,per110,per201,per202,per203,per204,per301,per302,per303,per304,per305,per401,per402,per403,per404,per405,per406,per407,per408,per409,per410,per411,per412,per413,per414,per415,per416,per501,per502,per503,per504,per505,per506,per507,per601,per602,per603,per604,per605,per606,per607,per608,per701,per702,per703,per704,per705,per706,per1011,per1012,per1013,per1014,per1015,per1016,per1021,per1022,per1023,per1024,per1025,per1026,per1031,per1032,per1033,per2021,per2022,per2023,per2031,per2032,per2033,per2041,per3011,per3051,per3052,per3053,per3054,per3055,per4011,per4012,per4013,per4014,per4121,per4122,per4123,per4124,per4131,per4132,per5021,per5031,per5041,per5061,per6011,per6012,per6013,per6014,per6061,per6071,per6072,per6081,per7051,per7052,per7061,per7062,per103_1,per103_2,per201_1,per201_2,per202_1,per202_2,per202_3,per202_4,per305_1,per305_2,per305_3,per305_4,per305_5,per305_6,per416_1,per416_2,per601_1,per601_2,per602_1,per602_2,per605_1,per605_2,per606_1,per606_2,per607_1,per607_2,per607_3,per608_1,per608_2,per608_3,per703_1,per703_2,rile,planeco,markeco,welfare,intpeace,datasetversion,id_perm
33,Spain,10,10,22/06/1986,198606,33901,Basque Left,EE,90,NA,104,0,1994,NA,NA,533,0,NA,2,350,1,10,NA,383,6527,522,0,2872,261,2611,522,1305,4.7,261,0,4178,3916,522,0,18799,0,2.35,0,261,0,783,1044,0,783,0,261,5744,0,2611,2611,0,0,783,261,261,4961,0,2872,5222,0,6527,0,0,3394,0,783,0,261,1567,0,6789,0,0,261,522,2089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-23499,1044,783,8094,3133,2025a,97LQ39
33,Spain,10,10,22/06/1986,198606,33902,Basque Nationalist Party,PNV/EAJ,90,NA,104,0,1994,NA,NA,1542,0,NA,6,350,1,10,NA,1150,3.13,0,0,0,609,957,0,1565,7739,0,609,3478,1652,0,0,13.13,0,3.13,0,522,696,3043,174,1565,435,0,0,2174,0,3391,11043,261,0,4696,0,261,3.13,1826,1391,6435,0,1826,0,0,5304,0,0,5043,87,1.13,0,261,0,0,174,3217,5913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3478,2,5391,7826,957,2025a,8I2GFI
33,Spain,10,10,22/06/1986,198606,33904,Aragonese Regionalist Party,PAR,90,NA,998,998,NA,NA,NA,0.36,0,NA,1,350,3,10,NA,1156,2595,0.26,0,173,173,346,87,433,1125,87,346,3893,8304,2768,0,5796,0,5796,173,173,952,1557,2768,8391,346,173,87,2768,0,5796,10121,346,0.26,779,0,1817,1817,3287,1557,6488,0,3.72,0,865,0,2422,0,2422,1038,87,0,519,0,2855,1038,779,2422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14879,11505,1.73,8045,433,2025a,3CEWN1
33,Spain,10,10,22/06/1986,198606,33905,Catalan Republican Left,ERC,90,NA,104,0,1994,NA,NA,617,0,NA,0,350,1,10,NA,228,3.07,0,0,877,3.07,4825,439,2193,439,0,0,8333,1754,439,1316,15351,0,6.14,0,0,1316,1754,2193,1754,0,0,0,5263,0,1316,3947,439,1316,4386,0,0,439,0,2193,5263,0,9211,0,0,3947,0,877,0,0,3509,0,877,0,1754,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11842,4386,5702,7456,5263,2025a,YG9MLW
33,Spain,10,10,29/10/1989,198910,33220,United Left,IU,20,NA,104,0,1994,NA,NA,9133,0,NA,17,350,1,10,NA,1731,3986,1155,0,982,462,2311,462,4275,3.12,0,58,1849,3928,0.52,0,3582,173,4853,0,0,0,0,2946,2253,173,0,0,1502,0,1329,6181,867,1675,0,58,1618,5373,2657,4159,12363,0,6297,0,58,0,0,809,1.04,0,347,58,5604,0,3177,867,4333,2542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-40035,6066,0,16522,2773,2025a,3PWCV8
33,Spain,10,10,29/10/1989,198910,33320,Spanish Socialist Workers’ Party,PSOE,30,NA,104,0,1994,NA,NA,39877,0,NA,175,350,1,10,NA,1479,1.69,1758,0,0,879,609,879,3043,4936,0,0,1014,1217,406,0,2907,0.27,3.11,0,135,68,744,338,68,473,0,0,2772,0,4.53,10751,811,0,473,0,1.42,4057,4598,3313,17512,68,3313,0,676,0,0,338,4.53,811,203,0,4327,0,4192,541,1487,4733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-22312,1217,541,20825,1487,2025a,5RKTJ7
33,Spain,10,10,29/10/1989,198910,33512,Centre Democrats,CDS,50,NA,104,0,1994,NA,NA,7949,0,NA,14,350,1,10,NA,2706,1293,4065,0,111,3215,628,443,1848,5469,0,37,1848,2587,1035,0,2624,148,10.31,185,1478,1737,1737,1035,3954,74,222,37,1072,0,4213,7761,0,0,1737,0,776,4.25,1293,1922,10.2,111,3437,0,37,0,259,0,6615,0.85,37,0,702,0,2772,1774,0.85,3215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4472,4989,3474,12121,1072,2025a,B6Q6F3
33,Spain,10,10,29/10/1989,198910,33610,People's Party,PP,60,NA,104,0,1994,NA,NA,25974,0,NA,107,350,1,10,NA,2157,139,464,0,0,3894,93,46,1.02,2874,0,46,881,1066,556,0,1994,46,9226,371,1298,3941,325,2133,1252,0,0,0,1854,0,2828,15531,46,0,1113,0,0,3848,4682,603,14001,417,3523,0,0,0,46,0,8762,139,93,0,1298,0,3755,2689,1484,1623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3106,3431,5053,14604,139,2025a,G26J4P
33,Spain,10,10,29/10/1989,198910,33611,Convergence and Union,CiU,90,NA,104,0,1994,NA,NA,5072,0,NA,18,350,1,10,NA,2068,822,242,0,48,242,725,193,677,4062,0,0,1209,774,1596,0,10977,0,7689,97,48,3433,4.11,1161,484,48,48,0,2031,0,6.48,9333,48,0,3627,0,435,2418,2273,1112,10.88,677,6.19,0,0,0,0.87,0,3917,0,1354,0,1692,0,3.82,1306,1015,1838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3191,1692,7.06,11992,919,2025a,UD1MG4
33,Spain,10,10,29/10/1989,198910,33901,Basque Left,EE,90,NA,998,998,NA,NA,NA,0.52,0,NA,2,350,3,10,NA,383,6527,522,0,2872,261,2611,522,1305,4.7,261,0,4178,3916,522,0,18799,0,2.35,0,261,0,783,1044,0,783,0,261,5744,0,2611,2611,0,0,783,261,261,4961,0,2872,5222,0,6527,0,0,3394,0,783,0,261,1567,0,6789,0,0,261,522,2089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-23499,1044,783,8094,3133,2025a,7M4LAF
